year,statefips,countyfips,month,ozone
2011,1,1001,1,33.918266
2011,1,1003,1,38.074951
2011,1,1005,1,35.903683
2011,1,1007,1,33.533794
2011,1,1009,1,34.164627
2011,1,1011,1,35.78886
2011,1,1013,1,36.16991
2011,1,1015,1,34.476978
2011,1,1017,1,35.560787
2011,1,1019,1,35.405361
2011,1,1021,1,34.066719
2011,1,1023,1,35.497726
2011,1,1025,1,36.089577
2011,1,1027,1,35.563637
2011,1,1029,1,35.591232
2011,1,1031,1,36.214958
2011,1,1033,1,33.047489
2011,1,1035,1,36.195335
2011,1,1037,1,35.018265
2011,1,1039,1,36.522587
2011,1,1041,1,36.481403
2011,1,1043,1,33.825233
2011,1,1045,1,36.142391
2011,1,1047,1,34.578476
2011,1,1049,1,36.148048
2011,1,1051,1,34.026131
2011,1,1053,1,36.248104
2011,1,1055,1,34.491066
2011,1,1057,1,34.275639
2011,1,1059,1,34.273582
2011,1,1061,1,36.249329
2011,1,1063,1,34.035332
2011,1,1065,1,34.259014
2011,1,1067,1,36.06311
2011,1,1069,1,35.69524
2011,1,1071,1,35.652988
2011,1,1073,1,30.30125
2011,1,1075,1,34.460278
2011,1,1077,1,33.089275
2011,1,1079,1,33.653431
2011,1,1081,1,35.121677
2011,1,1083,1,33.142563
2011,1,1085,1,35.576706
2011,1,1087,1,34.775173
2011,1,1089,1,33.660648
2011,1,1091,1,34.885174
2011,1,1093,1,34.392971
2011,1,1095,1,35.177525
2011,1,1097,1,35.481609
2011,1,1099,1,36.235542
2011,1,1101,1,33.410744
2011,1,1103,1,33.068344
2011,1,1105,1,34.455078
2011,1,1107,1,34.381672
2011,1,1109,1,36.098793
2011,1,1111,1,35.837597
2011,1,1113,1,34.745243
2011,1,1115,1,33.34655
2011,1,1117,1,31.68494
2011,1,1119,1,34.500473
2011,1,1121,1,34.066875
2011,1,1123,1,35.536526
2011,1,1125,1,32.361656
2011,1,1127,1,32.905571
2011,1,1129,1,36.284897
2011,1,1131,1,35.576111
2011,1,1133,1,34.131115
2011,4,4001,1,41.927685
2011,4,4003,1,44.13168
2011,4,4005,1,43.223186
2011,4,4007,1,43.13121
2011,4,4009,1,43.493019
2011,4,4011,1,43.914261
2011,4,4012,1,35.337887
2011,4,4013,1,31.720987
