year,statefips,date1,ozone
2011,1,01jan2011,32.81493
2011,4,01jan2011,36.942341
2011,5,01jan2011,30.721962
2011,6,01jan2011,32.829967
2011,8,01jan2011,37.165077
2011,9,01jan2011,17.432289
2011,10,01jan2011,31.083519
2011,11,01jan2011,27.810234
2011,12,01jan2011,37.043854
2011,13,01jan2011,31.214247
2011,16,01jan2011,33.424458
2011,17,01jan2011,29.858309
2011,18,01jan2011,30.995295
2011,19,01jan2011,34.59338
2011,20,01jan2011,36.759796
2011,21,01jan2011,34.35548
2011,22,01jan2011,34.123344
2011,23,01jan2011,24.226023
2011,24,01jan2011,29.137556
2011,25,01jan2011,22.131994
2011,26,01jan2011,28.521
2011,27,01jan2011,35.091595
2011,28,01jan2011,34.280876
2011,29,01jan2011,31.640516
2011,30,01jan2011,34.767227
2011,31,01jan2011,36.938347
2011,32,01jan2011,33.217621
2011,33,01jan2011,21.701975
2011,34,01jan2011,21.192312
2011,35,01jan2011,38.447491
2011,36,01jan2011,19.53484
2011,37,01jan2011,29.813206
2011,38,01jan2011,37.34465
2011,39,01jan2011,29.839268
2011,40,01jan2011,36.772312
2011,41,01jan2011,29.486387
2011,42,01jan2011,25.53714
2011,44,01jan2011,27.895144
2011,45,01jan2011,31.048431
2011,46,01jan2011,38.698082
2011,47,01jan2011,34.839439
2011,48,01jan2011,35.753162
2011,49,01jan2011,33.407864
2011,50,01jan2011,25.024614
2011,51,01jan2011,32.880108
2011,53,01jan2011,24.013947
2011,54,01jan2011,35.402851
2011,55,01jan2011,33.643486
2011,56,01jan2011,39.952618
2011,1,02jan2011,34.490505
2011,4,02jan2011,33.783604
2011,5,02jan2011,34.314873
2011,6,02jan2011,28.313601
2011,8,02jan2011,38.592281
2011,9,02jan2011,28.936628
2011,10,02jan2011,30.725903
2011,11,02jan2011,29.872559
2011,12,02jan2011,35.91423
2011,13,02jan2011,32.484165
2011,16,02jan2011,33.833271
2011,17,02jan2011,32.546177
2011,18,02jan2011,32.793331
2011,19,02jan2011,33.290966
2011,20,02jan2011,35.195778
2011,21,02jan2011,33.183224
2011,22,02jan2011,35.694431
2011,23,02jan2011,28.116995
2011,24,02jan2011,31.264194
2011,25,02jan2011,28.002354
2011,26,02jan2011,32.799324
2011,27,02jan2011,32.980824
2011,28,02jan2011,35.383934
2011,29,02jan2011,34.59235
2011,30,02jan2011,35.284508
2011,31,02jan2011,33.047146
2011,32,02jan2011,33.477898
2011,33,02jan2011,29.24486
2011,34,02jan2011,26.79854
2011,35,02jan2011,36.757702
2011,36,02jan2011,27.268097
2011,37,02jan2011,31.816931
2011,38,02jan2011,32.17997
2011,39,02jan2011,30.557999
2011,40,02jan2011,36.472652
2011,41,02jan2011,28.324585
2011,42,02jan2011,29.572433
2011,44,02jan2011,30.116039
2011,45,02jan2011,33.653095
2011,46,02jan2011,37.102524
2011,47,02jan2011,35.556343
2011,48,02jan2011,34.285469
2011,49,02jan2011,28.513145
2011,50,02jan2011,33.723362
2011,51,02jan2011,32.853382
2011,53,02jan2011,24.216621
2011,54,02jan2011,31.789297
2011,55,02jan2011,35.324394
2011,56,02jan2011,41.956657
2011,1,03jan2011,31.331755
2011,4,03jan2011,27.964256
2011,5,03jan2011,34.42947
2011,6,03jan2011,23.748817
2011,8,03jan2011,37.85297
2011,9,03jan2011,35.224083
2011,10,03jan2011,31.754065
2011,11,03jan2011,32.232197
2011,12,03jan2011,31.376471
2011,13,03jan2011,29.836712
2011,16,03jan2011,33.395927
2011,17,03jan2011,21.122295
2011,18,03jan2011,27.812702
2011,19,03jan2011,26.529503
2011,20,03jan2011,29.325485
2011,21,03jan2011,32.385777
2011,22,03jan2011,33.547581
2011,23,03jan2011,36.728256
2011,24,03jan2011,33.636719
2011,25,03jan2011,35.891037
2011,26,03jan2011,23.208012
2011,27,03jan2011,27.321028
2011,28,03jan2011,34.05175
2011,29,03jan2011,29.622133
2011,30,03jan2011,33.810268
2011,31,03jan2011,28.040689
2011,32,03jan2011,31.74753
2011,33,03jan2011,38.288601
2011,34,03jan2011,29.445719
2011,35,03jan2011,33.28117
2011,36,03jan2011,30.187168
2011,37,03jan2011,32.964798
2011,38,03jan2011,28.707556
2011,39,03jan2011,28.309208
2011,40,03jan2011,36.588074
2011,41,03jan2011,25.032494
2011,42,03jan2011,31.187902
2011,44,03jan2011,36.970043
2011,45,03jan2011,33.206219
2011,46,03jan2011,35.239285
2011,47,03jan2011,33.925373
2011,48,03jan2011,33.742809
2011,49,03jan2011,28.134993
2011,50,03jan2011,38.836037
2011,51,03jan2011,34.149464
2011,53,03jan2011,17.989761
2011,54,03jan2011,34.153576
2011,55,03jan2011,25.876719
2011,56,03jan2011,43.206875
2011,1,04jan2011,32.890053
2011,4,04jan2011,26.839458
2011,5,04jan2011,30.960535
2011,6,04jan2011,24.201597
2011,8,04jan2011,40.335621
2011,9,04jan2011,17.128012
2011,10,04jan2011,22.391508
2011,11,04jan2011,18.121355
