year,statefips,countyfips,month,pm
2011,1,1001,1,9.5523739
2011,1,1003,1,9.1986866
2011,1,1005,1,9.4364157
2011,1,1007,1,9.3129435
2011,1,1009,1,10.526042
2011,1,1011,1,9.3059139
2011,1,1013,1,9.0367765
2011,1,1015,1,10.490621
2011,1,1017,1,9.8661633
2011,1,1019,1,10.564083
2011,1,1021,1,9.4248962
2011,1,1023,1,8.7029772
2011,1,1025,1,8.7537899
2011,1,1027,1,9.3845425
2011,1,1029,1,9.9753017
2011,1,1031,1,9.5100765
2011,1,1033,1,10.331996
2011,1,1035,1,8.8880253
2011,1,1037,1,9.2624521
2011,1,1039,1,9.1370316
2011,1,1041,1,9.1564751
2011,1,1043,1,10.599283
2011,1,1045,1,9.5950241
2011,1,1047,1,9.0845909
2011,1,1049,1,10.576156
2011,1,1051,1,9.5903664
2011,1,1053,1,8.970006
2011,1,1055,1,10.730628
2011,1,1057,1,8.9010925
2011,1,1059,1,9.582798
2011,1,1061,1,9.7431002
2011,1,1063,1,8.7607565
2011,1,1065,1,8.8590965
2011,1,1067,1,9.5080175
2011,1,1069,1,9.8185492
2011,1,1071,1,10.326561
2011,1,1073,1,11.052094
2011,1,1075,1,8.883728
2011,1,1077,1,10.32434
2011,1,1079,1,10.270147
2011,1,1081,1,10.019659
2011,1,1083,1,10.776669
2011,1,1085,1,9.0368557
2011,1,1087,1,9.6696615
2011,1,1089,1,11.021365
2011,1,1091,1,8.7982101
2011,1,1093,1,9.2165709
2011,1,1095,1,10.79987
2011,1,1097,1,9.8132086
2011,1,1099,1,8.8281956
2011,1,1101,1,9.9543238
2011,1,1103,1,10.843397
2011,1,1105,1,8.8673525
2011,1,1107,1,8.839118
2011,1,1109,1,9.3969069
2011,1,1111,1,9.6801519
2011,1,1113,1,10.446552
2011,1,1115,1,10.500205
2011,1,1117,1,10.477723
2011,1,1119,1,8.7502308
2011,1,1121,1,10.036067
2011,1,1123,1,9.345541
2011,1,1125,1,9.5033827
2011,1,1127,1,9.7590895
2011,1,1129,1,8.9833059
2011,1,1131,1,8.7532969
2011,1,1133,1,9.7261782
2011,4,4001,1,6.0761724
2011,4,4003,1,7.4044604
2011,4,4005,1,7.088273
2011,4,4007,1,6.6230679
2011,4,4009,1,6.9691486
2011,4,4011,1,6.3243828
2011,4,4012,1,7.10253
2011,4,4013,1,10.23499
2011,4,4015,1,7.0927997
2011,4,4017,1,6.5515561
2011,4,4019,1,9.1440516
2011,4,4021,1,8.5081158
2011,4,4023,1,7.9751
2011,4,4025,1,7.2762589
2011,4,4027,1,7.8093157
2011,5,5001,1,11.028601
2011,5,5003,1,9.5620441
2011,5,5005,1,12.876309
2011,5,5007,1,13.544594
2011,5,5009,1,12.739752
2011,5,5011,1,9.9697199
2011,5,5013,1,10.097543
2011,5,5015,1,12.973557
2011,5,5017,1,9.688632
2011,5,5019,1,11.156062
2011,5,5021,1,11.771288
2011,5,5023,1,12.50356
2011,5,5025,1,10.633062
2011,5,5027,1,9.783433
2011,5,5029,1,12.911049
2011,5,5031,1,11.581347
2011,5,5033,1,13.205931
2011,5,5035,1,10.846845
2011,5,5037,1,10.951104
2011,5,5039,1,10.601094
2011,5,5041,1,10.115981
2011,5,5043,1,9.9510813
2011,5,5045,1,13.028133
2011,5,5047,1,12.889882
2011,5,5049,1,12.45955
2011,5,5051,1,11.843438
2011,5,5053,1,11.435202
2011,5,5055,1,11.62814
2011,5,5057,1,10.76605
2011,5,5059,1,11.665153
2011,5,5061,1,11.210479
2011,5,5063,1,12.104033
2011,5,5065,1,12.447994
2011,5,5067,1,11.669568
2011,5,5069,1,11.47535
2011,5,5071,1,12.900382
2011,5,5073,1,10.048315
2011,5,5075,1,11.727504
2011,5,5077,1,10.798223
2011,5,5079,1,10.652526
2011,5,5081,1,10.814566
2011,5,5083,1,12.721825
2011,5,5085,1,12.544645
2011,5,5087,1,12.527115
2011,5,5089,1,12.939256
2011,5,5091,1,10.704194
2011,5,5093,1,11.164149
2011,5,5095,1,11.234545
2011,5,5097,1,11.404508
2011,5,5099,1,10.323803
2011,5,5101,1,12.062006
2011,5,5103,1,10.153212
2011,5,5105,1,12.314121
2011,5,5107,1,10.504646
2011,5,5109,1,11.23472
2011,5,5111,1,11.12565
2011,5,5113,1,10.919933
2011,5,5115,1,13.110679
2011,5,5117,1,11.747027
2011,5,5119,1,13.130084
2011,5,5121,1,11.906348
2011,5,5123,1,10.913712
2011,5,5125,1,12.494988
2011,5,5127,1,11.659828
2011,5,5129,1,12.360559
2011,5,5131,1,13.292381
2011,5,5133,1,11.021347
2011,5,5135,1,12.172944
2011,5,5137,1,12.270104
2011,5,5139,1,9.9693699
2011,5,5141,1,12.500657
2011,5,5143,1,13.453876
2011,5,5145,1,12.476539
2011,5,5147,1,11.52614
2011,5,5149,1,12.715313
2011,6,6001,1,15.701923
2011,6,6003,1,9.284935
2011,6,6005,1,11.603251
2011,6,6007,1,12.687578
2011,6,6009,1,11.416407
2011,6,6011,1,10.061954
2011,6,6013,1,15.637925
2011,6,6015,1,8.0032606
2011,6,6017,1,11.10705
2011,6,6019,1,23.20792
2011,6,6021,1,11.315182
